date,steps,calories
2019-11-01,0,0
2019-11-02,0,0
2019-11-03,0,0
2019-11-04,0,0
2019-11-05,0,0
2019-11-06,0,0
2019-11-07,0,0
2019-11-08,0,0
2019-11-09,5186,2319
2019-11-10,15235,3566
2019-11-11,13430,2907
2019-11-12,19036,3330
2019-11-13,15421,3640
2019-11-14,6507,2410
2019-11-15,11950,2960
2019-11-16,9443,2914
2019-11-17,14947,3287
2019-11-18,16353,3273
2019-11-19,11871,2842
2019-11-20,12089,3170
2019-11-21,15729,3230
2019-11-22,12649,3280
2019-11-23,18950,3501
2019-11-24,11003,2588
2019-11-25,12472,3021
2019-11-26,12602,3239
2019-11-27,9624,2840
2019-11-28,11908,2959
2019-11-29,11669,2920
2019-11-30,13488,3192
2019-12-01,10408,2967
2019-12-02,11133,3131
2019-12-03,9338,2795
2019-12-04,6417,2318
2019-12-05,16487,2988
2019-12-06,12803,3077
2019-12-07,10565,2741
2019-12-08,13271,3029
2019-12-09,16912,3228
2019-12-10,18728,3326
2019-12-11,14518,3045
2019-12-12,16456,3044
2019-12-13,5673,2341
2019-12-14,17569,3147
2019-12-15,13174,2734
2019-12-16,14587,3412
2019-12-17,19255,3316
2019-12-18,16951,3267
2019-12-19,21567,3382
2019-12-20,11000,3144
2019-12-21,23554,3678
2019-12-22,15790,3439
2019-12-23,20847,4106
2019-12-24,5759,2502
2019-12-25,19403,3701
2019-12-26,10691,2931
2019-12-27,16999,3518
2019-12-28,13861,3297
2019-12-29,8828,2620
2019-12-30,16041,3516
2019-12-31,14366,3378
2020-01-01,16394,3607
2020-01-02,7116,2420
2020-01-03,11031,3004
2020-01-04,7209,2559
2020-01-05,16883,2960
2020-01-06,15656,3685
2020-01-07,16709,3106
2020-01-08,12504,3234
2020-01-09,13082,3006
2020-01-10,10342,2978
2020-01-11,17138,3704
2020-01-12,14325,3615
2020-01-13,11119,3216
2020-01-14,19788,3323
2020-01-15,13415,3218
2020-01-16,18350,3727
2020-01-17,10000,2941
2020-01-18,13252,3220
2020-01-19,15075,3309
2020-01-20,11924,3131
2020-01-21,14777,3101
2020-01-22,10352,3360
2020-01-23,14818,3397
2020-01-24,13087,3104
2020-01-25,17005,3230
2020-01-26,19254,3089
2020-01-27,10129,3183
2020-01-28,14586,3038
2020-01-29,15215,3534
2020-01-30,12037,3008
2020-01-31,12250,3120
2020-02-01,12368,3109
2020-02-02,16326,3750
2020-02-03,16302,3224
2020-02-04,17495,3472
2020-02-05,13214,2941
2020-02-06,15784,3604
2020-02-07,17029,3668
2020-02-08,9556,2813
2020-02-09,15059,2881
2020-02-10,4348,2184
2020-02-11,14919,3132
2020-02-12,13852,2977
2020-02-13,13446,2921
2020-02-14,14044,2990
2020-02-15,19953,3353
2020-02-16,6658,2479
2020-02-17,14382,3239
2020-02-18,17397,3656
2020-02-19,15571,3436
2020-02-20,14774,3167
2020-02-21,20054,3714
2020-02-22,14646,3536
2020-02-23,19967,3090
2020-02-24,13130,2932
2020-02-25,11479,2765
2020-02-26,17773,3589
2020-02-27,11439,2781
2020-02-28,17036,3572
2020-02-29,18784,3826
2020-03-01,15142,3296
2020-03-02,10536,2787
2020-03-03,12410,2904
2020-03-04,10310,2710
2020-03-05,21591,3754
2020-03-06,30146,4338
2020-03-07,11091,2617
2020-03-08,10180,2977
2020-03-09,7829,2598
2020-03-10,9485,2680
2020-03-11,15572,3059
2020-03-12,15689,3625
2020-03-13,17184,3914
2020-03-14,19207,4130
2020-03-15,6769,3037
2020-03-16,12205,3590
2020-03-17,12505,3454
2020-03-18,16445,3885
2020-03-19,13140,3661
2020-03-20,15865,3035
2020-03-21,8490,2864
2020-03-22,9364,3996
2020-03-23,8809,2728
2020-03-24,5877,3373
2020-03-25,10294,2846
2020-03-26,4076,2286
2020-03-27,8976,3404
2020-03-28,6581,3705
2020-03-29,13796,3199
2020-03-30,5241,3566
2020-03-31,9841,3034
